,MuonEnergy,RecoE
1553,1094.910,1081.169
1554,1027.090,1170.408
1555,602.940,706.474
1556,711.295,823.634
1557,773.948,866.319
1558,745.866,751.660
1559,1172.400,709.555
1560,432.180,450.970
1561,1768.810,1329.079
1562,1158.910,1144.817
1563,888.438,863.406
1564,871.902,609.649
1565,1134.190,1128.236
1566,978.996,1031.040
1567,943.924,871.700
1568,1272.850,1060.654
1569,681.678,724.121
1570,989.197,828.001
1571,1308.610,1232.088
1572,1050.000,1075.509
1573,841.380,869.234
1574,847.810,801.371
1575,1009.440,1059.951
1576,630.577,700.816
1577,645.992,685.537
1578,1292.650,1393.720
1579,685.749,677.462
1580,652.815,606.900
1581,405.012,467.387
1582,1066.890,1045.858
1583,753.232,882.443
1584,842.767,986.223
1585,734.125,725.714
1586,661.396,689.095
1587,508.861,605.908
1588,861.922,899.715
1589,818.909,986.523
1590,1435.820,1216.632
1591,612.281,551.272
1592,732.161,730.999
1593,473.696,580.272
1594,723.878,814.964
1595,626.364,825.365
1596,1217.510,851.117
1597,1178.550,1334.171
1598,1107.780,1069.666
1599,774.955,827.010
1600,730.889,745.754
1601,1060.310,1048.277
1602,1199.290,1260.231
1603,1110.010,1084.818
1604,1349.170,1461.409
1605,1425.500,1336.610
1606,758.632,794.195
1607,1007.660,1074.374
1608,685.184,647.209
1609,812.383,924.426
1610,1081.200,779.753
1611,1856.780,1479.106
1612,975.093,970.726
1613,716.475,699.226
1614,1002.250,1054.480
1615,516.727,616.361
1616,460.615,655.046
1617,1437.120,1603.190
1618,1046.520,973.319
1619,694.281,905.526
1620,537.707,669.634
1621,890.148,946.214
1622,726.157,771.084
1623,780.887,719.158
1624,1139.160,1160.103
1625,423.922,655.556
1626,972.223,886.362
1627,1070.590,1122.539
1628,1263.790,1577.498
1629,821.890,801.370
1630,577.981,631.738
1631,538.747,688.308
1632,1445.020,813.640
1633,853.424,779.794
1634,1011.670,971.777
1635,817.748,748.271
1636,831.300,843.619
1637,692.842,706.600
1638,774.947,1004.180
1639,1325.010,908.209
1640,1176.470,1365.216
1641,746.285,696.902
1642,1028.530,984.665
1643,964.616,887.234
1644,947.023,951.620
1645,825.314,868.836
1646,816.244,759.818
1647,743.415,704.144
1648,688.664,740.909
1649,697.023,778.887
1650,1019.460,1083.500
1651,914.265,875.833
1652,1271.880,746.017
1653,664.860,641.528
1654,1020.940,1010.017
1655,767.898,759.047
1656,935.360,942.870
1657,1237.580,1388.388
1658,486.643,533.942
1659,942.197,982.381
1660,994.627,1026.068
1661,1015.880,976.168
1662,1200.380,1193.856
1663,654.464,690.706
1664,764.604,825.681
1665,975.594,991.977
1666,609.320,564.151
1667,821.679,901.708
1668,996.265,942.824
1669,606.766,721.393
1670,480.469,551.712
1671,945.715,934.664
1672,752.341,579.406
1673,764.646,819.278
1674,751.321,810.043
1675,972.896,588.576
1676,525.954,529.670
1677,905.437,508.261
1678,420.990,505.845
1679,770.601,819.060
1680,728.746,702.829
1681,1370.570,1367.342
1682,631.950,730.884
1683,534.100,578.010
1684,604.348,803.523
1685,790.592,788.988
1686,1372.780,908.676
1687,1028.620,1038.007
1688,833.464,816.411
1689,650.404,638.239
1690,870.733,839.909
1691,951.623,994.035
1692,967.100,954.458
1693,1288.560,1488.641
1694,869.479,893.768
1695,621.575,714.193
1696,542.039,548.511
1697,813.550,929.247
1698,405.846,497.093
1699,1726.180,1454.616
1700,1372.780,957.564
1701,892.291,879.063
1702,1141.750,1187.233
1703,580.055,561.878
1704,712.850,794.184
1705,614.299,695.952
1706,877.175,935.728
1707,800.174,787.046
1708,525.817,523.190
1709,1186.910,1389.727
1710,947.646,932.000
1711,1261.920,1504.673
1712,1140.850,1082.607
1713,617.373,708.047
1714,590.237,825.354
1715,785.936,733.341
1716,754.368,770.924
1717,773.942,827.880
1718,1004.930,1020.905
1719,705.696,932.944
1720,1041.990,1021.840
1721,768.385,753.116
1722,1316.230,1308.110
1723,769.207,751.034
1724,573.063,505.171
1725,1861.130,1362.309
1726,1128.540,1119.232
1727,586.526,575.351
1728,985.042,1030.156
1729,976.445,995.153
1730,1474.510,1553.455
1731,1163.720,1153.638
1732,847.666,878.135
1733,612.172,911.142
1734,689.307,639.158
1735,917.131,957.108
1736,748.167,824.989
1737,734.097,924.655
1738,1782.620,1503.132
1739,598.290,596.499
1740,632.567,661.180
1741,791.393,663.519
1742,613.272,637.015
1743,1095.590,1038.494
1744,1211.810,1227.663
1745,683.213,868.020
1746,881.714,887.800
1747,814.209,851.289
1748,352.599,482.669
1749,1541.930,1026.083
1750,680.290,631.994
1751,713.256,922.169
1752,758.025,817.679
1753,1250.740,1217.755
1754,671.824,720.422
1755,1398.640,1421.463
1756,1000.960,968.986
1757,986.220,1009.598
1758,625.662,637.161
1759,1231.910,998.348
1760,649.153,716.876
1761,614.306,702.844
1762,981.362,1106.069
1763,883.952,844.200
1764,771.782,736.137
1765,772.710,809.267
1766,1324.200,1249.482
1767,928.677,949.717
1768,1289.530,1269.863
1769,984.759,972.807
1770,1012.490,1018.881
1771,712.769,676.057
1772,730.837,717.318
1773,1118.510,1132.947
1774,662.977,693.188
1775,1004.740,968.589
1776,1006.440,987.695
1777,767.413,972.804
1778,877.915,906.895
1779,1213.100,1276.961
1780,420.586,504.336
1781,1072.390,1239.466
1782,1107.870,1039.881
1783,754.940,703.430
1784,945.358,938.712
1785,633.452,636.272
1786,1226.230,722.039
1787,582.496,646.747
1788,612.962,630.200
1789,1275.530,1370.209
1790,515.697,661.505
1791,1370.830,1418.091
1792,652.204,752.732
1793,789.030,833.282
1794,857.039,912.329
1795,655.197,678.042
1796,869.906,957.928
1797,947.370,922.851
1798,409.855,458.251
1799,822.535,856.910
1800,957.653,943.848
1801,622.378,716.879
1802,1247.360,1223.026
1803,851.476,913.527
1804,965.785,1066.884
1805,1637.730,1407.499
1806,533.844,625.582
1807,620.625,744.969
1808,798.501,853.721
1809,1011.110,900.076
1810,758.809,801.864
1811,749.098,746.705
1812,1230.200,764.711
1813,1286.150,1488.395
1814,531.433,579.651
1815,466.921,490.010
1816,904.287,962.991
1817,1024.790,1043.025
1818,574.391,588.803
1819,847.291,858.817
1820,754.355,826.491
1821,576.976,725.153
1822,569.583,661.794
1823,1316.530,1456.963
1824,1117.540,688.132
1825,1379.490,1319.639
1826,1506.100,1481.531
1827,917.308,939.261
1828,1000.670,1025.923
1829,792.522,717.938
1830,707.368,737.915
1831,907.753,896.499
1832,1186.930,1385.282
1833,749.559,739.922
1834,1890.980,1549.364
1835,524.046,593.352
1836,852.090,875.324
1837,731.786,768.262
1838,776.420,766.389
1839,857.027,856.932
1840,717.585,823.148
1841,616.718,557.345
1842,593.456,628.806
1843,772.037,870.381
1844,1715.270,1001.424
1845,429.696,588.419
1846,860.560,826.560
1847,709.651,640.521
1848,976.160,982.457
1849,1266.620,1202.407
1850,1040.010,1045.345
1851,1600.530,1316.680
