0.075,0.0471239,100,0.0594474,4.38
0.075,0.0471239,280.952,0.309411,6.41333
0.075,0.0471239,461.905,0.0971354,0.12
0.075,0.0471239,642.857,0.370861,0.65
0.075,0.0471239,823.81,0.242807,0.5
0.075,0.0471239,1004.76,1.74386,1
0.075,0.0471239,1185.71,0.0749229,0.443333
0.075,0.0471239,1366.67,0.475648,0.956667
0.075,0.0471239,1547.62,0.0986046,0.82
0.075,0.0471239,1728.57,0.115373,0.85
0.075,0.204204,100,0.102601,37.4067
0.075,0.204204,280.952,0.342249,1.41
0.075,0.204204,461.905,0.328595,19.13
0.075,0.204204,642.857,0.746108,1.53333
0.075,0.204204,823.81,1.19392,1.81
0.075,0.204204,1004.76,2.02221,0.593333
0.075,0.204204,1185.71,0.685049,4.63333
0.075,0.204204,1366.67,3.47605,1.384
0.075,0.204204,1547.62,0.505612,1.06833
0.075,0.204204,1728.57,0.381135,1.79
0.075,0.361283,100,0.775204,75.1
0.075,0.361283,280.952,0.906018,4.73667
0.075,0.361283,461.905,0.874488,14.5667
0.075,0.361283,642.857,1.42275,3.77333
0.075,0.361283,823.81,1.8669,2.942
0.075,0.361283,1004.76,2.40543,2.525
0.075,0.361283,1185.71,0.678665,1.12333
0.075,0.361283,1366.67,0.74858,1.88133
0.075,0.361283,1547.62,1.17113,2.52833
0.075,0.361283,1728.57,1.17376,7.99286
0.075,0.518363,100,0.161506,7.46
0.075,0.518363,280.952,0.732746,26.61
0.075,0.518363,461.905,1.39519,2.78067
0.075,0.518363,642.857,1.59832,2.43867
0.075,0.518363,823.81,2.11276,2.47167
0.075,0.518363,1004.76,1.14979,3.07
0.075,0.518363,1185.71,1.74834,3.85733
0.075,0.518363,1366.67,1.60876,3.21171
0.075,0.518363,1547.62,1.23086,22.1183
0.075,0.518363,1728.57,0.965295,1.90033
0.075,0.675442,100,0.525125,48.4973
0.075,0.675442,280.952,0.878684,7.80367
0.075,0.675442,461.905,1.95629,5.20155
0.075,0.675442,642.857,4.11463,3.24833
0.075,0.675442,823.81,1.66784,3.99967
0.075,0.675442,1004.76,1.87513,4.75571
0.075,0.675442,1185.71,2.57271,2.44
0.075,0.675442,1366.67,3.46695,5.06667
0.075,0.675442,1547.62,1.20621,8.71676
0.075,0.675442,1728.57,3.24098,8.63767
0.075,0.832522,100,0.717746,39.347
0.075,0.832522,280.952,0.857581,8.7781
0.075,0.832522,461.905,2.73675,17.0709
0.075,0.832522,642.857,1.51263,8.74133
0.075,0.832522,823.81,1.65308,2.46087
0.075,0.832522,1004.76,1.84273,5.01533
0.075,0.832522,1185.71,3.70275,4.77789
0.075,0.832522,1366.67,1.43142,3.295
0.075,0.832522,1547.62,2.09571,4.43856
0.075,0.832522,1728.57,1.93593,2.27567
0.075,0.989602,100,1.39273,82.4867
0.075,0.989602,280.952,1.1095,35.1258
0.075,0.989602,461.905,2.5802,15.8327
0.075,0.989602,642.857,2.79102,5.79833
0.075,0.989602,823.81,1.56226,29.747
0.075,0.989602,1004.76,2.82907,12.6826
0.075,0.989602,1185.71,2.45517,3.11722
0.075,0.989602,1366.67,2.73242,3.86333
0.075,0.989602,1547.62,5.59738,5.38405
